Date,Wastewater_Viral_Load
12/4/2023,1010
12/4/2023,58.2
12/4/2023,601
12/4/2023,235
12/4/2023,578
12/5/2023,508
12/5/2023,999
12/5/2023,1360
12/5/2023,970
12/5/2023,246
12/5/2023,952
12/6/2023,2340
12/6/2023,919
12/6/2023,1220
12/6/2023,478
12/6/2023,1420
12/7/2023,1040
12/7/2023,504
12/7/2023,552
12/7/2023,248
12/7/2023,799
12/7/2023,548
12/4/2023,23900
12/4/2023,9030
12/4/2023,10900
12/4/2023,12800
12/4/2023,5650
12/5/2023,1780
12/5/2023,8540
12/5/2023,9430
12/5/2023,13600
12/5/2023,6860
12/5/2023,35200
12/6/2023,14600
12/6/2023,13800
12/6/2023,5930
12/6/2023,3160
12/6/2023,4820
12/7/2023,9680
12/7/2023,8340
12/7/2023,15800
12/7/2023,4650
12/7/2023,32800
12/7/2023,1950
12/11/2023,725
12/11/2023,43.2
12/11/2023,528
12/11/2023,367
12/11/2023,454
12/11/2023,22100
12/12/2023,5280
12/12/2023,1330
12/12/2023,76
12/12/2023,48.3
12/12/2023,4900
12/13/2023,418
12/13/2023,699
12/13/2023,339
12/13/2023,2560
12/13/2023,2490
12/14/2023,1110
12/14/2023,400
12/14/2023,2780
12/14/2023,164
12/14/2023,729
12/14/2023,6780
12/11/2023,23700
12/11/2023,51300
12/11/2023,29800
12/11/2023,13600
12/11/2023,15300
12/11/2023,167000
12/12/2023,50500
12/12/2023,66800
12/12/2023,17200
12/12/2023,8880
12/12/2023,49200
12/13/2023,37700
12/13/2023,32100
12/13/2023,39800
12/13/2023,99900
12/13/2023,121000
12/14/2023,43200
12/14/2023,5880
12/14/2023,36500
12/14/2023,37200
12/14/2023,15400
12/14/2023,43600
12/19/2023,1750
12/19/2023,5620
12/19/2023,7410
12/19/2023,1500
12/19/2023,3520
12/19/2023,5300
12/19/2023,1040
12/19/2023,8200
12/19/2023,7280
12/19/2023,5680
12/19/2023,4730
12/20/2023,1380
12/20/2023,3820
12/20/2023,1460
12/20/2023,5610
12/20/2023,2760
12/21/2023,5870
12/21/2023,1680
12/21/2023,2630
12/21/2023,2040
12/21/2023,35300
12/21/2023,34000
12/19/2023,60100
12/19/2023,88900
12/19/2023,87800
12/19/2023,94400
12/19/2023,88900
12/19/2023,46700
12/19/2023,57700
12/19/2023,91600
12/19/2023,168000
12/19/2023,637000
12/19/2023,113000
12/20/2023,22000
12/20/2023,138000
12/20/2023,78800
12/20/2023,177000
12/20/2023,19600
12/21/2023,86400
12/21/2023,33300
12/21/2023,58600
12/21/2023,34400
